Author	All	Since 2014	LC	User
Heting Chu	1671	602	Yes	7UF7ZQcAAAAJ
Rigas Arvanitis	1677	621	Yes	YGyWxd8AAAAJ
Birger Larsen	1826	991	Yes	fIL_MF0AAAAJ
Jan Vlachý	1116	60	No	I1FIw6IAAAAJ
Rafael Ruiz-Perez	2621	1219	Yes	ozjAngUAAAAJ
Kayvan Kousha	3189	2471	Yes	1qZw1XkAAAAJ
Elias Sanz-Casado	1944	962	Yes	Y0EL1yIAAAAJ
Elena Corera-Álvarez	1604	642	Yes	KR0qfAkAAAAJ
G Steven McMillan	1338	405	Yes	iLZ3yDEAAAAJ
Werner Marx	2545	1791	Yes	5czWyjsAAAAJ
Guido Van Hooydonk	1305	366	Yes	PjjpXccAAAAJ
Jevin D. West	3000	2232	Yes	db5ZPlkAAAAJ
Ping Zhou	1639	809	Yes	4EOaTNcAAAAJ
Ulf Sandström	1731	834	Yes	3_TFJjAAAAAJ
Ricardo Arencibia Jorge	1914	1086	Yes	krJTaKIAAAAJ
Dean Giustini	1946	1152	No	z0FpO-gAAAAJ
Maite barrios	2134	1392	Yes	dMx3z84AAAAJ
RR Braam	1201	378	Yes	jaGPbK8AAAAJ
Emanuela Reale	2058	1260	Yes	0InLmQIAAAAJ
Xianwen Wang（王贤文）	1858	1490	No	7oLaEkwAAAAJ
Sybille Hinze	1452	447	Yes	hfo4uyIAAAAJ
Sven Hemlin	1697	895	Yes	Smopdp0AAAAJ
Erjia Yan	2479	1931	Yes	Nomi_U0AAAAJ
Ernesto Spinak	1536	745	Yes	ay4sWXfG4AwJ
AN Zanaib	1573	949	No	O8SU4ZQAAAAJ
Luc Marie Quoniam	1847	1043	Yes	e0aJoloAAAAJ
Antonio Fernández-Cano	1516	751	Yes	VVZZdpsAAAAJ
Philipp Mayr	1558	876	Yes	RIB8suEAAAAJ
Rickard Danell	1477	915	Yes	ry8ZX0UAAAAJ
A.N. Zainab	1573	949	No	O8SU4ZQAAAAJ
Dangzhi Zhao	1352	797	Yes	5vXyMaEAAAAJ
I.K. Ravichandra Rao	997	302	Yes	Ozk_6FsAAAAJ
Stefanie Haustein	4484	4312	Yes	kWhLvE8AAAAJ
Elea Giménez-Toledo	1542	865	Yes	jaqfQqEAAAAJ
Nader Ale Ebrahim	2828	2362	Yes	XiIuF7YAAAAJ
Kathleen F. Bauer	1062	432	No	R6NjPaAAAAAJ
Joaquín M. Azagra-Caro	1149	565	Yes	pIaZNpcAAAAJ
Radhamany Sooryamoorthy	1290	690	Yes	r-B0gRIAAAAJ
Antonis Sidiropoulos	1006	447	No	42WdccQAAAAJ
Stephen Bensman	897	263	No	X1VM3cEAAAAJ
Farideh Osareh	1111	464	Yes	tDmKKbgAAAAJ
Marie E McVeigh	905	378	Yes	3QW6BeMAAAAJ
Andreas Strotmann	1146	648	Yes	dKuMsmEAAAAJ
Raul-Isaac Mendez-Vasquez	848	257	Yes	0UQJ5WsAAAAJ
Jesper W. Schneider	1771	1380	Yes	rlZGQaUAAAAJ
John S. Liu	2294	2043	Yes	FO1h7c0AAAAJ
Rafael Bailón Moreno	747	320	Yes	oUw3ZGsAAAAJ
Jeppe Nicolaisen	933	507	Yes	4tCxUq4AAAAJ
Christian Schloegl	1055	629	Yes	mb9URYsAAAAJ
Xuemei Li	800	479	No	mLK9FXsAAAAJ
Alesia Zuccala	1154	716	Yes	FubDq0QAAAAJ
Álvaro Cabezas-Clavijo	1189	849	Yes	z9mQzfYAAAAJ
Rogério Mugnaini	1064	688	Yes	yg0B5VUAAAAJ
David 'the' Stuart	817	405	Yes	TIHpj0QAAAAJ
John Rigby	1065	652	Yes	SKVHHa0AAAAJ
Umut Al	1358	867	Yes	RAfy1r4AAAAJ
Staša Milojević	1546	1353	Yes	ElYJ8mUAAAAJ
Claire Donovan	907	588	Yes	_Q2XIpoAAAAJ
Juan Gorraiz	1378	1098	Yes	DkjpltQAAAAJ
Jadranka Stojanovski	264	184	Yes	MlH_ohgAAAAJ
OB Onyancha	1072	710	Yes	Ez4tQZIAAAAJ
Tove Faber Frandsen	754	399	Yes	OsiP8QQAAAAJ
Janghyeok Yoon	1669	1509	No	ZC4vyocAAAAJ
