author	identity	work_count	record_count	languages	total_holdings	author_id	source	duplicated
Judit Bar-Ilan	Bar-Ilan, Judit	8	11	3	10	lccn-no2011134819	API	FALSE
HD Daniel	Daniel, Hans-Dieter 1955-	36	92	2	1.351	lccn-n87854232	Web	FALSE
Martin Meyer	Meyer, Martin	7	19	2	123	lccn-n99053460	Web	FALSE
Thed van Leeuwen	Leeuwen, Thed N. van	5	5	2	39	lccn-n2002134725	Web	TRUE
Thed van Leeuwen	Leeuwen, Thed van	2	2	1	1	np-leeuwen,%20thed%20van	API	TRUE
Ying Ding	Ding, Ying 1955-	17	86	2	1.430	lccn-n2008063128	Web	TRUE
Ying Ding	Ding, Ying	2	2	1	6	viaf-308721056	Web	TRUE
Diana Hicks	Hicks, Diana	1	1	1	1	viaf-198156571	Web	FALSE
Bart Van Looy	Looy, Bart van	51	135	3	1.759	lccn-nb98008772	API	TRUE
Bart Van Looy	Van Looy, Bart	35	36	1	46	viaf-202362579	Web	TRUE
Bart Van Looy	Looy, Van, Bart	1	1	1	1	np-looy,%20van%20bart	Web	TRUE
Bart Van Looy	Looy, B. van	3	3	2	4	np-looy,%20b%20van	Web	TRUE
J Sylvan Katz	Katz, Sylvan	9	16	2	124	lccn-n88060931	API	TRUE
J Sylvan Katz	Katz, J. Sylvan	6	12	1	27	viaf-190888262	Web	TRUE
Kevin W. Boyack	Boyack, Kevin W.	10	10	1	27	viaf-31152023729603312461	API	TRUE
Kevin W. Boyack	Boyack, Kevin Wiser	1	1	1	2	np-boyack,%20kevin%20wiser	Web	TRUE
Kevin W. Boyack	Boyack, K. W.	1	1	1	1	np-boyack,%20k%20w	Web	TRUE
Kevin W. Boyack	Boyack, Kevin	1	2	1	2	np-boyack,%20kevin	Web	TRUE
Ian Rowlands	Rowlands, Ian	22	94	1	1.687	viaf-88094309	Web	TRUE
Ian Rowlands	Rowlands, Ian	2	8	1	389	viaf-211343602	Web	TRUE
Ian Rowlands	Rowlands, Ian Edited by	1	1	1	14	nc-rowlands%20ian$edited%20by	Web	TRUE
Robert J.W. Tijssen	Tijssen, Robert (Robert Jaap Walter) 1955-	36	56	2	161	lccn-n92097108	API	FALSE
Mustar Philippe	Mustar, Philippe	36	105	3	1.030	lccn-no96003810	Web	TRUE
Mustar Philippe	Mustar, Philippe	3	7	2	27	viaf-201931640	Web	TRUE
Olle Persson	Persson, Olle	44	70	2	132	viaf-191819221	Web	FALSE
Bertram C. Brookes	Brookes, B. C. (Bertram Claude)	44	198	5	946	lccn-n86088339	API	TRUE
Bertram C. Brookes	Brookes, B.C. 1910-1991	3	5	2	17	viaf-243145542571196640755	Web	TRUE
John Irvine	Irvine, John 1951-	17	107	3	1.976	lccn-n96116917	API	FALSE
Ismael Rafols	Rafols, Ismael	6	7	2	8	viaf-307268930	API	FALSE
Peter Jacso	Jacsó, Péter	24	76	3	3.361	lccn-n91082694	API	TRUE
Peter Jacso	Jasco, Peter	1	1	1	1	np-jasco,%20peter	Web	TRUE
Emilio Delgado López-Cózar	Delgado López-Cózar, Emilio	25	58	3	196	lccn-n91050689	API	FALSE
Peter Van den Besselaar	Besselaar, Peter van den	45	153	2	2.457	lccn-n90719972	API	TRUE
Peter Van den Besselaar	Besselaar, Peter van den	5	20	1	456	viaf-200858379	Web	TRUE
Peter Van den Besselaar	Besselaar, van den, Peter	1	1	1	1	np-besselaar,%20van%20den%20peter	Web	TRUE
Peter Van den Besselaar	Besselaar, Peter van der	2	2	1	3	np-besselaar,%20peter%20van%20der	Web	TRUE
Peter Van den Besselaar	Besselaar, P. van den	2	2	2	2	np-besselaar,%20p%20van%20den	Web	TRUE
Peter Van den Besselaar	Besselaar,P. van den	1	1	1	1	np-besselaar,p%20van%20den	Web	TRUE
Vincent Larivière	Larivière, Vincent	23	51	2	394	lccn-n2017180793	API	TRUE
