author	total_holdings	work_count	record_count	All	Since 2014	User	Bibliometrics	Figure	Status	University	lang
Mustar Philippe	1057	39	112	5645	2637	weYWb-oAAAAJ	Yes	Professor	Active	Mines Paris Tech	3
Muzammil Tahira	5	1	2	155	127	hgFl7zcAAAAJ	Yes	Librarian	Active	University of Education, Lahore-Pakistan	2
Máxima Bolaños-Pizarro	5	4	5	538	371	6Yz1W0wAAAAJ	Yes	Professor	Active	Universitat de València	1
Nader Ale Ebrahim	7	7	7	2828	2362	XiIuF7YAAAAJ	Yes	Professor	Active	University of Malaya	1
Nees Jan van Eck	27	21	23	8724	7305	ksTAMO0AAAAJ	Yes	Researcher	Active	Centre for Science and Technology Studies (CWTS)	1
Nele Dexters	1	1	1	218	113	3eqDwnsAAAAJ	Yes	Professor	Active	University of Antwerp	1
Nick Tomaiuolo	3189	6	37	398	61	bekzZAUAAAAJ	Yes	Librarian	Active	Connecticut State University's	3
Nicolás Robinson-García	3	3	3	1485	1324	Jd6KNkQAAAAJ	Yes	Researcher	Active	Delf University	1
OB Onyancha	25	27	27	1072	710	Ez4tQZIAAAAJ	Yes	Professor	Active	University of South Africa	1
Olle Persson	132	44	70	5322	2405	uzYG4G4AAAAJ	Yes	Professor	Emeritus	Umeå university	2
Orlando Gregorio-Chaviano	1	1	1	201	132	vXs3C_4AAAAJ	Yes	Professor	Active	Pontifical Xavierian University	1
Pablo Dorta-González	3	3	3	740	526	7PaIpS4AAAAJ	Yes	Professor	Active	Universidad de las Palmas de Gran Canaria	1
Paul Wouters	3672	74	137	6151	4647	ZHF-hVMAAAAJ	Yes	Researcher	Active	Leiden University	3
Pero Šipka	6	4	4	321	83	-uCwzKsAAAAJ	Yes	Researcher	Active	CEON/CEES	3
Peter Ingwersen	1878	116	273	11560	3294	Qtha5msAAAAJ	Yes	Professor	Emeritus	University of Copenhagen	7
Peter Jacso	3362	25	77	4142	1545	96uEd40AAAAJ	Yes	Professor	Active	University of Hawaii	3
Peter Sjögårde	1	1	1	26	24	jGc8a3wAAAAJ	Yes	Librarian	Active	Karolinska Institutet	1
Peter Van den Besselaar	2920	56	179	4663	2313	7Zy6oaEAAAAJ	Yes	Professor	Active	Vrije Universiteit Amsterdam	2
Philipp Mayr	481	33	50	1558	876	RIB8suEAAAAJ	Yes	Researcher	Active	GESIS - Leibniz Institute for the Social Sciences	2
Philippe Mongeon	4	4	4	1440	1428	wvX4S8sAAAAJ	Yes	Researcher	Active	University of Leiden	1
Ping Zhou	2	1	2	1639	809	4EOaTNcAAAAJ	Yes	Professor	Active	Zhejiang University	1
R Jeyshankar	1	1	1	425	360	TQF3k4cAAAAJ	Yes	Professor	Active	Alagappa University	1
RR Braam	146	12	29	1201	378	jaGPbK8AAAAJ	Yes	Researcher	Active	----	2
Rachel Borchardt	577	2	16	299	278	diGghEEAAAAJ	Yes	Librarian	Active	American Universiy Washington	1
Radhamany Sooryamoorthy	1876	27	85	1290	690	r-B0gRIAAAAJ	Yes	Professor	Active	University of KwaZulu-Natal	1
Raf Guns	194	2	14	894	727	NeSFF60AAAAJ	Yes	Professor	Active	University of Antwerp	1
Rafael Aleixandre-Benavent	42	32	38	4380	2280	P32v4lAAAAAJ	Yes	Researcher	Active	CSIC	3
Rafael Ruiz-Perez	157	35	69	2621	1219	ozjAngUAAAAJ	Yes	Professor	Active	University of Granada	2
Raul-Isaac Mendez-Vasquez	2	2	2	848	257	0UQJ5WsAAAAJ	Yes	Researcher	Active	Fundació Catalana per a la Recerca i la Innovació	1
Ricardo Arencibia Jorge	142	19	28	1914	1086	krJTaKIAAAAJ	Yes	Other professionals	Active	Empresa de Tecnologías de la Información	1
Rickard Danell	731	6	17	1477	915	ry8ZX0UAAAAJ	Yes	Professor	Active	Umeå universitet	2
Rigas Arvanitis	608	42	96	1677	621	YGyWxd8AAAAJ	Yes	Researcher	Active	Institut de recherche pour le développement	5
Robert D. Shelton	220	15	24	312	126	8CmmlyoAAAAJ	Yes	Researcher	Active	 WTEC	1
Robert J.W. Tijssen	161	36	56	6536	3259	GbQBFhAAAAAJ	Yes	Professor	Active	Leiden University	2
Rodrigo Costas	37	16	21	4290	3680	6dUTpTYAAAAJ	Yes	Researcher	Active	Centre for Science and Technology Studies (CWTS)	5
Rogério Mugnaini	6	5	6	1064	688	yg0B5VUAAAAJ	Yes	Professor	Active	University of São Paulo	1
Ronald Rousseau	1387	26	122	14433	6049	6wAM1TAAAAAJ	Yes	Professor	Active	KU Leuven	5
Rosa Scoble	3	1	3	276	262	nh3RQHQAAAAJ	Yes	Professor	Active	Brunel University London	1
Rosane Taruhn	2	2	2	78	13	swkc2vcAAAAJ	Yes	Librarian	Active	University of Sao Paulo	1
Rosario Rogel	115	15	26	371	227	t5jxiy0AAAAJ	Yes	Professor	Active	Universidad Autónoma del Estado de México	1
Ruben Urbizagastegui Alvarado	113	61	70	1115	593	c1kemjAAAAAJ	Yes	Librarian	Active	University of California at Riverside	3
Ruediger Mutz	92	10	16	3754	2549	U5DoJ5IAAAAJ	Yes	Researcher	Active	ETH Zurich	2
Sada Bihari Sahu	6	4	5	70	54	KXC96icAAAAJ	Yes	Researcher	Active	Small Industries Development Bank	1
Samir Kumar Jalal	1	1	1	144	95	tEB2e6AAAAAJ	Yes	Librarian	Active	Indian Institute of Technology	1
Samuel C Bradford	723	49	141	2015	604	G9hB9vEAAAAJ	Yes	Researcher	Deceased	Science Museum London	6
Sandra Miguel	124	18	25	1084	852	kx7GkbkAAAAJ	Yes	Professor	Active	National University of La Plata	3
Sebastian K Boell (Böll)	19	2	2	1191	1047	gEKg8gwAAAAJ	Yes	Professor	Active	University of Sydney	1
Sergio Carbonell de la Fé	87	4	8	65	39	qnoeT3MAAAAJ	Yes	Librarian	Active	----	1
Shenmeng Xu	2	2	2	416	362	6SYbD8AAAAAJ	Yes	Professor	Active	University of North Carolina at Chapel Hill	1
Shigeaki Yamazaki	3	3	3	367	83	1YDw_WwAAAAJ	Yes	Professor	Active	Aichi Shukutoku University	2
Sibele Fausto	1	1	1	195	164	gGiALDIAAAAJ	Yes	Librarian	Active	University of São Paulo	1
Stacy Konkiel	7	4	5	289	263	eslVzYQAAAAJ	Yes	Other professionals	Active	Digital Science	1
Staša Milojević	14	5	8	1546	1353	ElYJ8mUAAAAJ	Yes	Professor	Active	Indiana University, Bloomington	1
Stefan Darmoni	164	49	67	3364	1409	EPs9X3AAAAAJ	Yes	Professor	Active	Rouen University Hospital	1
