Author	Bibliometrics	Figure	Status	University
Alesia Zuccala	Yes	Professor	Active	University of Copenhagen
Bart Thijs	Yes	Professor	Active	KU Leuven
Christian Gumpenberger	Yes	Librarian	Active	University of Vienna
Adèle Paul-Hus	Yes	Professor	Active	Université de Montréal
Chaoqun Ni	Yes	Professor	Active	University of Iowa
Erjia Yan	Yes	Professor	Active	Drexel University
Jan Maluleka	Yes	Professor	Active	University of South Africa
Jeppe Nicolaisen	Yes	Professor	Active	University of Copenhagen
Dalibor Fiala	Yes	Professor	Active	University of West Bohemia
Eustache Mêgnigbêto	Yes	Librarian	Active	University of Antwerp
G. Rathinasabapathy	Yes	Librarian	Active	Tamil Nadu Veterinary and Animal Sciences University
Hedman Juha	Yes	Researcher	Active	University of Turku
Judit Bar-Ilan	Yes	Professor	Deceased	Bar-Ilan University
Tove Faber Frandsen	Yes	Professor	Active	University of Southern Denmark
Francisco Collazo	Yes	Researcher	Active	Centro de InvestigaciÓN de Estudios Avanzados
Ifeanyi J. Ezema	Yes	Professor	Active	University of Nigeria
Ismael Rafols	Yes	Researcher	Active	University of Leiden
Jevin D. West	Yes	Professor	Active	University of Washington
Werner Marx	Yes	Researcher	Active	Max Planck Institute for Solid State Research,
Ehsan Mohammadi	Yes	Professor	Active	University of South Carolina
Jose Morillo-Velarde Serrano	Yes	Librarian	Active	Universidad Carlos III
Kamal Lochan Jena	Yes	Librarian	Active	College of Engineering & Technology, Bhubaneswar
Nader Ale Ebrahim	Yes	Professor	Active	University of Malaya
Stacy Konkiel	Yes	Other professionals	Active	Digital Science
Daniel Wadskog	Yes	Librarian	Active	Uppsala University, Sweden
Gali Halevi	Yes	Librarian	Active	Mount Sinai - New York
Jadranka Stojanovski	Yes	Librarian	Active	Rudjer Boskovic Institute Library
Pero Šipka	Yes	Researcher	Active	CEON/CEES
Rogério Mugnaini	Yes	Professor	Active	University of São Paulo
Sada Bihari Sahu	Yes	Researcher	Active	Small Industries Development Bank
Tim Engels	Yes	Professor	Active	Universiteit Antwerpen
Clara Calero	Yes	Researcher	Active	University of Leiden
J. Carlos García-Zorita	Yes	Professor	Active	Universidad Carlos III
Jose Antonio Torres-Reyes	Yes	Professor	Active	Universidad Autónoma de Nuevo León
Jose Navarrete	Yes	Librarian	Active	Universidad de Jaén
Muzammil Tahira	Yes	Librarian	Active	University of Education, Lahore-Pakistan
Máxima Bolaños-Pizarro	Yes	Professor	Active	Universitat de València
Subir K. Sen	Yes	Professor	Active	University of Calcutta
Valentina Markusova	Yes	Researcher	Active	Russian Institute for S&T Information (VINITI)
Zohreh Zahedi	Yes	Researcher	Active	University of Leiden
Claire Donovan	Yes	Professor	Active	Brunel University London
Frederik Verleysen	Yes	Professor	Active	University of Antwerp
G Steven McMillan	Yes	Professor	Active	Penn State Abington
Gabriel Peterson	Yes	Professor	Active	North Carolina Central University
Jens Peter Andersen	Yes	Professor	Active	Aarhus University
Marianne Gauffriau	Yes	Librarian	Active	Copenhagen University Library
Philippe Mongeon	Yes	Researcher	Active	University of Leiden
Vaishali Khaparde	Yes	Professor	Active	Dr Babasaheb Ambedkar Marathwada University
Berenika M. Webster	Yes	Librarian	Active	University of Pittsburgh
Cristian Colliander	Yes	Professor	Active	Umeå University
Joaquín M. Azagra-Caro	Yes	Researcher	Active	ingenio CSIC-UPV
Kayvan Kousha	Yes	Professor	Active	University of Wolverhampton
Magdalena Bemke-Świtilnik	Yes	Professor	Active	Główny Instytut Górnictwa
Matthew L. Wallace	Yes	Researcher	Active	International Development Research Centre
Nicolás Robinson-García	Yes	Researcher	Active	Delf University
Pablo Dorta-González	Yes	Professor	Active	Universidad de las Palmas de Gran Canaria
Rosa Scoble	Yes	Professor	Active	Brunel University London
Shigeaki Yamazaki	Yes	Professor	Active	Aichi Shukutoku University
Adrián A. Díaz-Faes	Yes	Researcher	Active	ingenio CSIC-UPV
B. S.Kademani	Yes	Librarian	Active	Bhabha Atomic Research Centre
Borja González-Albo Manglano	Yes	Researcher	Active	CSIC
Catharina Rehn	Yes	Librarian	Active	Karolinska Institutet Universitetsbiblioteket
Chandran Velmurugan	Yes	Librarian	Active	Vivekanandha Arts & Science College for Women
Faramarz Soheili	Yes	Researcher	Active	Payame Noor University
Fereshteh Didegah	Yes	Professor	Active	University of British Columbia
Hyunseok Park	Yes	Professor	Active	Hanyang University
Leandro Innocentini Lopes de Faria	Yes	Professor	Active	Universidade Federal de São Carlos 
Mirza Muhammad Naseer	Yes	Professor	Active	Imam Abdul Rahman Bin Faisal University
Ping Zhou	Yes	Professor	Active	Zhejiang University
Raul-Isaac Mendez-Vasquez	Yes	Researcher	Active	Fundació Catalana per a la Recerca i la Innovació
Rosane Taruhn	Yes	Librarian	Active	University of Sao Paulo
Shenmeng Xu	Yes	Professor	Active	University of North Carolina at Chapel Hill
Swapan kumar Patra	Yes	Professor	Active	Tshwane University of Technology
Valeria Molteni	Yes	Librarian	Active	Menlo College
maryam shekofteh	Yes	Professor	Active	Shahid Beheshti University of Medical Sciences
