author	lang	count
I.K. Ravichandra Rao	chi	1
I.K. Ravichandra Rao	eng	55
I.K. Ravichandra Rao	por	4
Ian Rowlands	eng	100
Ifeanyi J. Ezema	eng	3
Isidro F. Aguillo	cat	1
Isidro F. Aguillo	spa	31
Ismael Rafols	eng	6
Ismael Rafols	ger	1
J Sylvan Katz	eng	26
J Sylvan Katz	fre	2
J. Carlos García-Zorita	spa	5
Jadranka Stojanovski	eng	2
Jadranka Stojanovski	hrv	2
Jan Maluleka	eng	4
Jan Youtie	eng	37
Javier Ruiz-Castillo	eng	81
Javier Ruiz-Castillo	spa	38
Jens Peter Andersen	eng	3
Jens Terliesner	ger	1
Jeppe Nicolaisen	dan	4
Jeppe Nicolaisen	eng	6
Jesper W. Schneider	dan	4
Jesper W. Schneider	eng	8
Jevin D. West	eng	5
Jill Lagerstrom	eng	2
Joaquín M. Azagra-Caro	eng	2
Joaquín M. Azagra-Caro	spa	1
Johan Bollen	eng	13
Johan Bollen	spa	2
John Irvine	eng	101
John Irvine	ger	1
John Irvine	jpn	1
John Jeyasekar Jesubright	eng	8
John Rigby	eng	54
John Rigby	spa	1
John S. Liu	eng	1
Jose Antonio Torres-Reyes	spa	4
Jose Maria López Piñero	cat	3
Jose Maria López Piñero	eng	17
Jose Maria López Piñero	fre	1
Jose Maria López Piñero	lat	2
Jose Maria López Piñero	spa	240
Jose Morillo-Velarde Serrano	spa	4
Jose Navarrete	spa	4
José Luis Ortega	cat	1
José Luis Ortega	eng	33
José Luis Ortega	spa	17
Juan Gorraiz	eng	2
Juan Gorraiz	ger	8
Juan Gorraiz	spa	6
Judit Bar-Ilan	eng	8
Judit Bar-Ilan	ger	1
Judit Bar-Ilan	heb	2
Kamal Badar	eng	1
Kamal Lochan Jena	eng	3
Katherine W. McCain	eng	16
Katy Borner	chi	1
Katy Borner	eng	118
Katy Borner	ger	13
Kayvan Kousha	eng	3
Kevin W. Boyack	eng	13
Kim Holmberg	eng	41
Kim Holmberg	fin	1
Kim Holmberg	swe	3
Kim-Leng Goh	eng	32
Kim-Leng Goh	may	2
Koenraad Debackere	dut	5
Koenraad Debackere	eng	59
Lea Velho	eng	29
Lea Velho	por	20
Lea Velho	spa	6
Leandro Innocentini Lopes de Faria	por	2
Lennart Björneborn	dan	7
Lennart Björneborn	eng	4
Leslie Adriaanse	eng	1
Li Tang 唐莉	eng	1
Liney Manjarres-Henríquez	eng	1
Loet Leydesdorff	chi	5
Loet Leydesdorff	dut	15
Loet Leydesdorff	eng	120
Loet Leydesdorff	fre	1
Loet Leydesdorff	ger	1
Lokman Meho	ara	1
Lokman Meho	eng	45
Lokman Meho	tur	1
Luc Marie Quoniam	eng	12
Luc Marie Quoniam	fre	22
Luc Marie Quoniam	por	1
Ludo Waltman	eng	22
Lutz Bornmann	eng	7
Lutz Bornmann	ger	21
Magdalena Bemke-Świtilnik	pol	3
Magnus Gulbrandsen	eng	32
Magnus Gulbrandsen	ger	1
Magnus Gulbrandsen	mul	2
Magnus Gulbrandsen	nob	1
Magnus Gulbrandsen	nor	14
Maite barrios	cat	2
Maite barrios	eng	1
Maite barrios	spa	14
Maja Jokić	ger	6
Maja Jokić	hrv	21
Maja Jokić	slv	1
Marcia Regina da Silva	por	7
Marcia Regina da Silva	spa	1
Maria Cassella	eng	1
Maria Cassella	ita	8
Maria Victoria Guzman Sánchez	spa	16
Marianne Gauffriau	dan	2
Mariano A. Maura	eng	6
Mariano A. Maura	spa	4
Marie E McVeigh	eng	1
Mario Coccia	eng	13
Mario Coccia	ita	28
Martin Meyer	eng	11
Martin Meyer	ger	7
Massimo Franceschet	eng	12
Matthew L. Wallace	eng	2
Matthias Weber	eng	59
Matthias Weber	ger	5
Michael E. D. Koenig	eng	114
Michael E. D. Koenig	ger	4
Michael J. Moravcsik	cat	1
Michael J. Moravcsik	eng	138
Michael J. Moravcsik	ger	1
Michael J. Moravcsik	por	1
Mike Thelwall	chi	1
Mike Thelwall	eng	81
Mike Thelwall	ger	1
Mike Thelwall	slv	1
Mirza Muhammad Naseer	eng	1
Mohammad-Hossein Biglu	eng	5
Mustar Philippe	eng	41
Mustar Philippe	fre	49
Mustar Philippe	mul	1
Muzammil Tahira	eng	1
Muzammil Tahira	ger	1
Máxima Bolaños-Pizarro	spa	5
Nader Ale Ebrahim	eng	7
Nees Jan van Eck	eng	22
Nele Dexters	eng	1
Nick Tomaiuolo	chi	1
Nick Tomaiuolo	eng	33
Nick Tomaiuolo	spa	2
Nicolás Robinson-García	eng	3
OB Onyancha	eng	27
Olle Persson	eng	10
Olle Persson	swe	35
Orlando Gregorio-Chaviano	spa	1
Pablo Dorta-González	spa	3
Paul Wouters	dut	46
Paul Wouters	eng	64
Paul Wouters	ita	1
Pero Šipka	hrv	2
Pero Šipka	slv	1
Pero Šipka	srp	1
Peter Ingwersen	chi	1
Peter Ingwersen	dan	22
Peter Ingwersen	eng	134
Peter Ingwersen	ger	21
Peter Ingwersen	jpn	5
Peter Ingwersen	mul	1
Peter Ingwersen	per	1
Peter Jacso	eng	51
Peter Jacso	hun	12
Peter Jacso	spa	6
Peter Sjögårde	eng	1
Peter Van den Besselaar	dut	7
Peter Van den Besselaar	eng	144
Philipp Mayr	eng	17
Philipp Mayr	ger	22
Philippe Mongeon	eng	3
Ping Zhou	eng	2
R Jeyshankar	eng	1
RR Braam	dut	15
RR Braam	eng	14
Rachel Borchardt	eng	16
Radhamany Sooryamoorthy	eng	76
Raf Guns	eng	14
Rafael Aleixandre-Benavent	cat	2
Rafael Aleixandre-Benavent	eng	2
Rafael Aleixandre-Benavent	spa	27
Rafael Bailón Moreno	spa	1
Rafael Ruiz-Perez	eng	1
Rafael Ruiz-Perez	spa	53
Raul-Isaac Mendez-Vasquez	spa	2
