author	author_id	lang	count
Anup Kumar Das	lccn-n2015183751	eng	11
Anup Kumar Das	np-das,%20anup%20kumar	eng	13
Anup Kumar Das	lccn-n2008204631	eng	9
Pablo Dorta-González	np-dorta%20gonzalez,%20pablo	spa	3
J. Carlos García-Zorita	np-garcia%20zorita,%20carlos	spa	4
J. Carlos García-Zorita	np-garcia%20zorita,%20jose%20carlos	spa	1
Jose Navarrete	viaf-86606968	spa	4
Nick Tomaiuolo	lccn-n2003047034	eng	33
Nick Tomaiuolo	lccn-n2003047034	spa	2
Nick Tomaiuolo	lccn-n2003047034	chi	1
Gohar Feroz Khan	lccn-n2017042912	eng	39
Gohar Feroz Khan	lccn-n2017042912	ger	1
Gohar Feroz Khan	viaf-1181155284784587061376	eng	3
Carlos Olmeda-Gomez	lccn-n97044664	spa	31
Carlos Olmeda-Gomez	lccn-n97044664	eng	3
Carlos Olmeda-Gomez	np-olmeda%20gomez,%20carlos	spa	9
Carlos Olmeda-Gomez	np-olmeda%20gomez,%20carlos	eng	1
Carlos Olmeda-Gomez	np-olmeda%20gaomez,%20carlos	spa	1
Carlos Olmeda-Gomez	np-olmeda%20gmez,%20carlos	spa	1
Carlos Olmeda-Gomez	np-carlos%20olmeda%20gomez	eng	1
Shigeaki Yamazaki	np-yamazaki,%20shigeaki	eng	2
Shigeaki Yamazaki	np-yamazaki,%20shigeaki	jpn	1
Antonio Perianes-Rodríguez	lccn-no2011027469	spa	14
Antonio Perianes-Rodríguez	lccn-no2011027469	eng	8
Antonio Perianes-Rodríguez	np-perianes%20rodraiguez,%20antonio	spa	1
Antonio Perianes-Rodríguez	np-antonio%20perianes%20rodriguez	eng	1
Aparna Basu	lccn-n82161109	eng	78
Edgar Schiebel	viaf-220435003	ger	38
Edgar Schiebel	viaf-220435003	eng	5
Edgar Schiebel	np-edgar%20schiebel	eng	1
Valentina Markusova	lccn-no00039921	eng	1
Valentina Markusova	np-markusova,%20valentina%20aleksandrovna	rus	1
Valentina Markusova	np-markusova,%20valentine%20a	eng	1
Li Tang 唐莉	viaf-95095037	eng	1
Leandro Innocentini Lopes de Faria	viaf-214889461	por	2
Raf Guns	lccn-no2018095952	eng	14
Fereshteh Didegah	np-didegah,%20fereshteh	eng	2
Chaoqun Ni	lccn-no2016140601	eng	2
Chaoqun Ni	lccn-no2016140601	chi	1
Ruben Urbizagastegui Alvarado	lccn-no2009050808	spa	19
Ruben Urbizagastegui Alvarado	lccn-no2009050808	por	7
Ruben Urbizagastegui Alvarado	lccn-no2009050808	eng	2
Ruben Urbizagastegui Alvarado	np-urbizagastegui%20alvarado,%20r	por	18
Ruben Urbizagastegui Alvarado	np-urbizagastegui%20alvarado,%20r	eng	1
Ruben Urbizagastegui Alvarado	viaf-101278645	spa	3
Ruben Urbizagastegui Alvarado	viaf-101278645	por	1
Berenika M. Webster	lccn-nb2014011400	eng	3
Maja Jokić	lccn-n2007052166	hrv	20
Maja Jokić	lccn-n2007052166	ger	6
Maja Jokić	lccn-n2007052166	slv	1
Maja Jokić	np-jokic,%20maja%20marija	hrv	1
Hedman Juha	lccn-n85340248	fin	5
Hedman Juha	lccn-n85340248	eng	4
Máxima Bolaños-Pizarro	np-bolanos%20pizarro,%20maxima	spa	5
Diana Lucio-Arias	lccn-no2016138635	spa	4
Diana Lucio-Arias	lccn-no2016138635	eng	2
Diana Lucio-Arias	np-lucio%20arias,%20diana%20patricia	spa	10
Sebastian K Boell (Böll)	np-boell,%20sebastian%20k	eng	1
Sebastian K Boell (Böll)	np-boll,%20sebastian%20k	eng	1
Swapan kumar Patra	viaf-5222156223660005400001	eng	1
Swapan kumar Patra	np-patra,%20swapan%20kumar	eng	1
Matthew L. Wallace	np-wallace,%20matthew%20l	eng	2
Maria Victoria Guzman Sánchez	np-guzman%20sanchez,%20maria%20victoria	spa	14
Maria Victoria Guzman Sánchez	np-guzman%20sanchez,%20maria%20v	spa	2
Pero Šipka	viaf-305796032	hrv	2
Pero Šipka	viaf-305796032	slv	1
Pero Šipka	viaf-305796032	srp	1
Robert D. Shelton	lccn-n85353927	eng	21
Robert D. Shelton	np-shelton,%20robert%20duane	eng	2
Carlos Benito Amat	np-amat,%20carlos%20benito	spa	2
Xiaozhong Liu	np-liu,%20xiaozhong	chi	22
Xiaozhong Liu	np-liu,%20xiaozhong	eng	3
Enrique Orduna-Malea	lccn-ns2016004028	spa	29
Enrique Orduna-Malea	lccn-ns2016004028	eng	14
Tim Engels	np-engels,%20tim%20c%20e	eng	5
Zohreh Zahedi	viaf-309887466	eng	3
Zohreh Zahedi	viaf-309887466	per	2
Björn Hammarfelt	viaf-252513028	eng	17
Björn Hammarfelt	viaf-252513028	swe	1
Marcia Regina da Silva	lccn-no2018018242	por	7
Marcia Regina da Silva	lccn-no2018018242	spa	1
G. Galyani	viaf-305737398	eng	1
Marianne Gauffriau	np-gauffriau,%20marianne	dan	2
Gonzalo Ordonez-Matamoros	lccn-no2016155516	spa	10
Gonzalo Ordonez-Matamoros	lccn-no2016155516	eng	8
Gonzalo Ordonez-Matamoros	np-ordonez%20matamoros,%20gonzalo%20autor%20a	spa	1
Gonzalo Ordonez-Matamoros	np-ordones%20matamoros,%20gonzalo	eng	1
Bhaskar Mukherjee	lccn-no2010199088	eng	37
Bhaskar Mukherjee	lccn-no2010199088	ger	9
Bhaskar Mukherjee	np-mukherjee,%20dr%20bhaskar	eng	1
SL Sangam	lccn-n88161367	eng	5
SL Sangam	viaf-606152636174120052975	eng	1
Guo Freeman (Zhang)	lccn-no2016071435	eng	11
Rosario Rogel	lccn-no2006067935	spa	21
Rosario Rogel	np-rogel%20salazar,%20rosario%20autor%20a	spa	5
Jens Terliesner	np-terliesner,%20jens	ger	1
Christian Gumpenberger	np-gumpenberger,%20christian	ger	5
Christian Gumpenberger	np-gumpenberger,%20christian	eng	1
Christian Gumpenberger	np-gampenrieder,%20christian	ger	2
Francisco Collazo	np-collazo%20reyes,%20francisco	spa	8
Wouter Gerritsma	viaf-285392263	eng	12
Mohammad-Hossein Biglu	np-biglu,%20mohammad%20hossein	eng	5
Maria Cassella	lccn-no2012060029	ita	8
Maria Cassella	lccn-no2012060029	eng	1
Hyunseok Park	viaf-127146998429418940837	eng	2
Nele Dexters	np-dexters,%20nele	eng	1
Władysław Marek Kolasa	lccn-nr2006009558	pol	30
Władysław Marek Kolasa	lccn-nr2006009558	chi	2
Władysław Marek Kolasa	lccn-nr2006009558	eng	1
Władysław Marek Kolasa	np-kolasa,%20wladyslaw%20mark	pol	1
Ehsan Mohammadi	np-mohammadi,%20ehsan	eng	5
Ehsan Mohammadi	np-mohammadi,%20ehsan	ger	1
Shenmeng Xu	viaf-309649570	eng	2
Carole Probst	np-probst,%20carole	ger	2
Carole Probst	np-probst,%20carole	eng	1
Subir K. Sen	np-sen,%20subir%20k	eng	4
Dalibor Fiala	np-fiala,%20dalibor	eng	3
Dalibor Fiala	np-fiala,%20dalibor	ger	1
Dalibor Fiala	np-fiala,%20dalibor	cze	1
Dalibor Fiala	viaf-190808874	eng	2
Dalibor Fiala	viaf-190808874	ger	1
Jose Antonio Torres-Reyes	lccn-no2010174768	spa	4
Amit Kumar Bandyopadhyay	lccn-n2006170706	eng	1
Amit Kumar Bandyopadhyay	viaf-295763645	eng	1
Cristian Colliander	viaf-311495332	eng	3
Catharina Rehn	np-rehn,%20catharina	swe	2
Borja González-Albo Manglano	np-gonzalez%20albo%20manglano,%20borja	spa	1
Borja González-Albo Manglano	np-gonzalez%20albo%20manglano,%20borja	por	1
Kamal Lochan Jena	np-jena,%20kamal%20lochan	eng	3
Hajar Sotudeh	lccn-no2012103691	eng	1
Eustache Mêgnigbêto	lccn-no2002007714	fre	3
Eustache Mêgnigbêto	lccn-no2002007714	eng	2
Ifeanyi J. Ezema	lccn-n2016021411	eng	2
Ifeanyi J. Ezema	np-ezema,%20ifeanyi%20jonas	eng	1
Orlando Gregorio-Chaviano	np-gregorio%20chaviano,%20orlando	spa	1
Daniel Wadskog	viaf-103198722	swe	4
Daniel Wadskog	viaf-103198722	eng	1
Stacy Konkiel	np-konkiel,%20stacy	eng	3
Stacy Konkiel	np-stacy%20konkiel	eng	1
Stacy Konkiel	np-konkiel,%20stacey	eng	1
Yaniris Rodríguez-Sánchez	np-rodriguez%20sanchez,%20yaniris	spa	12
Samir Kumar Jalal	np-jalal,%20samir%20kumar	eng	1
Bidyarthi Dutta	lccn-n2017041588	eng	4
Rosane Taruhn	np-taruhn,%20rosane	por	2
Aneta Drabek	viaf-163746749	pol	19
Valeria Molteni	np-molteni,%20valeria	spa	2
Emma Georgina Santillán Rivero	np-santillan%20rivero,%20emma%20georgina	spa	1
Rachel Borchardt	lccn-n2015013281	eng	16
Gali Halevi	np-halevi,%20gali	eng	1
Frederik Verleysen	viaf-290243880	eng	2
Frederik Verleysen	viaf-290243880	dut	1
Frederik Verleysen	np-verleysen,%20frederik%20t	eng	1
Alberto Martín-Martín	np-martin%20martin,%20alberto	spa	4
Alberto Martín-Martín	np-martin%20martin,%20alberto	eng	2
Mariano A. Maura	np-maura,%20mariano%20a	spa	4
Mariano A. Maura	np-maura,%20mariano%20a	eng	4
Mariano A. Maura	np-maura,%20mariano%20a$mariano%20antonio	eng	1
Mariano A. Maura	np-maura,%20mariano%20antonio	eng	1
Sibele Fausto	np-fausto,%20sibele	por	1
Andrea Twiss-Brooks	lccn-n2010077384	eng	8
SA Sanni	np-sanni,%20shamsudeen%20ademola	eng	5
maryam shekofteh	np-shekofteh,%20maryam	eng	2
Muzammil Tahira	np-tahira,%20muzammil	ger	1
Muzammil Tahira	np-tahira,%20muzammil	eng	1
Jose Morillo-Velarde Serrano	np-morillo%20velarde%20serrano,%20jose	spa	4
G. Rathinasabapathy	lccn-n2018244766	eng	2
G. Rathinasabapathy	np-rathinasabapathy,%20g%20ed	eng	1
Rosa Scoble	np-scoble,%20rosa	eng	3
Faramarz Soheili	np-soheili,%20faramarz	eng	2
Diego Marcos Cartagena	np-marcos%20cartagena,%20diego	spa	1
Chris Belter	lccn-no2011141773	eng	10
Chris Belter	np-belter,%20chris%20w	eng	1
B. Elango	np-elango,%20bakthavachalam	eng	1
Sada Bihari Sahu	viaf-316473595	eng	5
Mirza Muhammad Naseer	np-naseer,%20mirza%20muhammad	eng	1
Haydar Yalcin	np-yalcin,%20haydar	tur	7
Jens Peter Andersen	viaf-307286810	eng	3
Jan Maluleka	viaf-7155284728187061286	eng	2
Jan Maluleka	viaf-72147724863564591492	eng	2
Philippe Mongeon	np-mongeon,%20philippe	eng	3
Alvaro Roldán López	np-roldan%20lopez,%20alvaro	spa	1
Leslie Adriaanse	np-adriaanse,%20leslie%20sharon	eng	1
Gabriel Peterson	lccn-no2010109456	eng	2
Chandran Velmurugan	np-velmurugan,%20chandran	eng	1
Kamal Badar	np-badar,%20kamal	eng	1
Jill Lagerstrom	np-lagerstrom,%20jill	eng	2
Ephrance Abu Ujum	np-ephrance%20abu%20ujum	eng	1
Sergio Carbonell de la Fé	np-carbonell%20de%20la%20fe,%20sergio	spa	8
Filistéa Naudé	lccn-no2011001322	eng	5
Filistéa Naudé	np-naude,%20filistea	eng	2
Franjo Pehar	lccn-n2017005885	eng	5
Franjo Pehar	lccn-n2017005885	hrv	1
Adrián A. Díaz-Faes	np-arias%20diaz%20faes,%20adrian	spa	1
Adrián A. Díaz-Faes	np-a%20diaz%20faes,%20adrian	eng	1
Peter Sjögårde	np-sjogarde,%20peter	eng	1
John Jeyasekar Jesubright	lccn-n2017033557	eng	8
Adèle Paul-Hus	np-paul%20hus,%20adele	eng	7
Magdalena Bemke-Świtilnik	viaf-280144782722013431396	pol	3
Vaishali Khaparde	np-khaparde,%20vaishali	eng	1
Vaishali Khaparde	np-khaparde,%20vaishali%20s	eng	1
