author	author_id	lang	count
Jose Maria López Piñero	lccn-n80045052	spa	236
Jose Maria López Piñero	lccn-n80045052	eng	17
Jose Maria López Piñero	lccn-n80045052	lat	2
Jose Maria López Piñero	lccn-n80045052	fre	1
Jose Maria López Piñero	viaf-133093547	cat	3
Jose Maria López Piñero	viaf-133093547	spa	1
Jose Maria López Piñero	lccn-n87882108	spa	3
Michael J. Moravcsik	lccn-n80067515	eng	136
Michael J. Moravcsik	lccn-n80067515	cat	1
Michael J. Moravcsik	lccn-n80067515	por	1
Michael J. Moravcsik	lccn-n80067515	ger	1
Michael J. Moravcsik	viaf-104602366	eng	1
Michael J. Moravcsik	np-moravcsik,%20michael	eng	1
Katherine W. McCain	lccn-n87131886	eng	13
Katherine W. McCain	viaf-218137914	eng	3
Judit Bar-Ilan	lccn-no2011134819	eng	8
Judit Bar-Ilan	lccn-no2011134819	heb	2
Judit Bar-Ilan	lccn-no2011134819	ger	1
HD Daniel	lccn-n87854232	ger	37
HD Daniel	lccn-n87854232	eng	34
Martin Meyer	lccn-n99053460	eng	11
Martin Meyer	lccn-n99053460	ger	7
Thed van Leeuwen	lccn-n2002134725	eng	4
Thed van Leeuwen	lccn-n2002134725	dut	1
Thed van Leeuwen	np-leeuwen,%20thed%20van	eng	2
Ying Ding	lccn-n2008063128	eng	68
Ying Ding	lccn-n2008063128	chi	17
Ying Ding	viaf-308721056	eng	2
Diana Hicks	viaf-198156571	eng	1
Bart Van Looy	lccn-nb98008772	eng	79
Bart Van Looy	lccn-nb98008772	dut	9
Bart Van Looy	lccn-nb98008772	jpn	7
Bart Van Looy	viaf-202362579	eng	21
Bart Van Looy	np-looy,%20van%20bart	dut	1
Bart Van Looy	np-looy,%20b%20van	eng	2
Bart Van Looy	np-looy,%20b%20van	dut	1
J Sylvan Katz	lccn-n88060931	eng	14
J Sylvan Katz	lccn-n88060931	fre	2
J Sylvan Katz	viaf-190888262	eng	12
Kevin W. Boyack	viaf-31152023729603312461	eng	9
Kevin W. Boyack	np-boyack,%20kevin%20wiser	eng	1
Kevin W. Boyack	np-boyack,%20k%20w	eng	1
Kevin W. Boyack	np-boyack,%20kevin	eng	2
Ian Rowlands	viaf-88094309	eng	91
Ian Rowlands	viaf-211343602	eng	8
Ian Rowlands	nc-rowlands%20ian$edited%20by	eng	1
Robert J.W. Tijssen	lccn-n92097108	eng	28
Robert J.W. Tijssen	lccn-n92097108	dut	12
Mustar Philippe	lccn-no96003810	fre	46
Mustar Philippe	lccn-no96003810	eng	38
Mustar Philippe	lccn-no96003810	mul	1
Mustar Philippe	viaf-201931640	fre	3
Mustar Philippe	viaf-201931640	eng	3
Olle Persson	viaf-191819221	swe	35
Olle Persson	viaf-191819221	eng	10
Bertram C. Brookes	lccn-n86088339	eng	154
Bertram C. Brookes	lccn-n86088339	ger	4
